date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog
06.01.07;50.0;71.1;0.13;0.0;0.0;08. Mai;230;17. Sep;230;21.92;Yes
15.01.07;57.0;73.9;0.0;0.0;0.0;13. Feb;230;23.94;230;29. Aug;No
20.01.07;26. Jan;48.0;0.0;0.0;0.0;Apr 92;290;16. Nov;320;21. MŠr;No
22.01.07;33.1;41.0;0.08;0.0;0.0;02. Jan;230;08. Mai;10;12. Aug;Yes
24.01.07;30.0;48.9;0.0;0.0;0.0;Feb 91;50;14. Sep;50;17.0;Yes
27.01.07;32.0;64.0;0.0;0.0;0.0;Nov 41;230;19.91;230;23. Apr;No
30.01.07;24. Jan;48.9;0.0;0.0;0.0;Mai 82;220;17. Sep;220;21. MŠr;No
17.02.07;19.0;48.0;0.0;0.0;0.0;Jul 61;230;23.94;200;29. Aug;No
11.03.07;39.9;70.0;0.0;0.0;0.0;Mai 14;30;16. Nov;30;21. MŠr;No
15.03.07;57.0;81.0;0.0;0.0;0.0;09. Apr;220;21.92;210;25.95;No
17.03.07;33.1;48.9;0.0;0.0;0.0;Jul 38;330;19.91;330;29. Aug;No
26.03.07;44.1;73.9;0.0;0.0;0.0;06. Apr;230;16. Nov;210;21.92;No
03.04.07;53.1;86.0;0.0;0.0;0.0;04. Mär;180;16. Nov;170;21. MŠr;Yes
05.04.07;41.0;57.9;0.0;0.0;0.0;MŠr 58;310;14.99;320;23.94;No
15.04.07;42.1;77.0;Jan 76;0.0;0.0;Dez 75;180;25. Mai;300;29.97;Yes
17.04.07;46.9;72.0;0.0;0.0;0.0;Jul 61;360;19.91;320;29. Aug;No
29.04.07;53.1;80.1;0.0;0.0;0.0;Jun 49;300;17. Sep;290;25. Mai;No
19.05.07;43.0;73.0;0.0;0.0;0.0;MŠr 58;290;Dez 97;280;16. Nov;Yes
10.06.07;69.1;87.1;0.0;0.0;0.0;Jun 49;100;14.99;100;19.91;Yes
18.06.07;63.0;96.1;0.0;0.0;0.0;MŠr 13;220;12. Aug;220;14. Sep;Yes
16.07.07;70.0;91.9;0.0;0.0;0.0;08. Mai;230;16. Nov;210;19.91;No
18.07.07;71.1;91.0;0.08;0.0;0.0;Mai 82;240;14.99;230;17. Sep;Yes
19.07.07;71.1;93.9;0.0;0.0;0.0;Jul 38;230;17. Sep;230;21.92;Yes
19.08.07;70.0;97.0;0.0;0.0;0.0;Sep 84;220;17.0;210;21. MŠr;No
28.09.07;64.0;84.9;0.0;0.0;0.0;Jun 49;320;16. Nov;340;21. MŠr;No
30.09.07;48.0;80.1;0.0;0.0;0.0;Jun 71;50;16. Nov;90;21.92;No
03.10.07;63.0;84.9;0.0;0.0;0.0;MŠr 36;70;10. Jul;90;14. Sep;Yes
08.10.07;64.9;93.0;0.0;0.0;0.0;Jan 79;180;08. Mai;170;Dez 97;Yes
11.10.07;51.1;69.1;0.0;0.0;0.0;Jul 61;300;14.99;330;21.92;No
30.10.07;33.1;66.9;0.0;0.0;0.0;01. Dez;50;08. Mai;140;12. Aug;Yes
01.11.07;53.1;78.1;0.0;0.0;0.0;Apr 47;40;19.91;50;25.95;Yes
07.11.07;30.0;55.0;0.0;0.0;0.0;03. Aug;40;Dez 97;20;16. Nov;No
09.11.07;34.0;61.0;0.0;0.0;0.0;Apr 25;210;12. Aug;230;14.99;No
17.11.07;28.0;60.1;0.0;0.0;0.0;Apr 25;230;17.0;210;23. Apr;Yes
28.11.07;32.0;57.0;0.0;0.0;0.0;Apr 47;120;14.99;90;17. Sep;No
30.11.07;32.0;57.0;0.0;0.0;0.0;Feb 68;50;Dez 97;30;14.99;No
27.12.07;36.0;57.9;0.0;0.0;0.0;MŠr 58;220;14. Sep;220;16. Nov;Yes
29.12.07;55.0;71.1;0.13;0.0;0.0;Okt 74;190;27.96;190;38.03;Yes
04.01.08;17. Jan;45.0;0.0;0.0;0.0;06. Apr;220;16. Nov;240;21. MŠr;No
25.01.08;21.0;39.0;0.0;0.0;0.0;03. Aug;340;14. Sep;340;21.92;No
26.01.08;28. Sep;48.0;0.0;0.0;0.0;04. Jul;220;12. Aug;230;14.99;No
13.02.08;34.0;55.9;0.92;0.0;0.0;Apr 92;300;14.99;310;23. Apr;Yes
14.02.08;28.0;50.0;0.01;0.0;0.0;Mai 14;320;14. Sep;330;21.92;Yes
17.02.08;37.0;64.9;0.0;0.0;0.0;Aug 72;170;23. Apr;170;31.09;No
26.02.08;46.9;61.0;0.47;0.0;0.0;Aug 72;230;23.94;230;31.09;Yes
04.03.08;57.9;73.9;2.0;0.0;0.0;15.88;240;36.91;260;46.98;Yes
05.03.08;44.1;64.0;0.0;0.0;0.0;08. Mai;230;23.94;240;31.99;No
30.03.08;41.0;45.0;0.36;0.0;0.0;Sep 17;60;16. Nov;50;21. MŠr;Yes
31.03.08;44.1;60.1;0.98;0.0;0.0;04. Jul;180;14.99;180;19.91;Yes
16.04.08;32.0;68.0;0.0;0.0;0.0;03. Aug;50;16. Nov;10;21. MŠr;No
30.04.08;37.9;66.9;0.0;0.0;0.0;Feb 91;230;10. Jul;230;Dez 97;No
04.05.08;60.1;82.0;0.0;0.0;0.0;Mai 14;220;Dez 97;30;17.0;Yes
09.05.08;63.0;82.0;0.43;0.0;0.0;Okt 29;200;23.94;200;33.11;Yes
16.11.13;50.0;69.1;0.0;0.0;0.0;MŠr 13;30;Aug 95;20;12. Aug;No
04.01.14;19. Feb;37.9;0.0;0.0;0.0;Feb 24;120;08. Mai;120;Dez 97;No
08.01.14;15. MŠr;43.0;0.0;0.0;0.0;Feb 91;220;10. Jul;210;Dez 97;No
10.01.14;39.0;45.0;0.57;0.0;0.0;MŠr 58;270;10. Jul;280;14. Sep;No
18.01.14;27. Jan;46.9;0.0;0.0;0.0;Jun 71;270;17.0;240;23.94;No
23.01.14;16. Feb;37.9;0.0;0.0;0.0;04. Jul;30;14.99;10;21.92;No
24.01.14;11. Jan;27. Jan;0.0;0.0;0.0;Jun 26;10;14. Sep;20;23. Apr;No
31.01.14;15. MŠr;53.1;0.0;0.0;0.0;02. Jan;220;Aug 95;220;Dez 97;No
05.02.14;37.9;53.1;0.06;0.0;0.0;04. Jul;240;12. Aug;250;19.91;No
26.02.14;32.0;48.9;0.0;0.0;0.0;MŠr 58;40;10. Jul;40;14.99;No
03.03.14;20. Jan;61.0;0.36;0.2;0.0;Okt 96;30;25. Mai;30;36.91;No
08.03.14;27. Jan;68.0;0.0;0.0;0.0;Apr 25;230;17.0;240;21.92;Yes
11.03.14;44.1;79.0;0.0;0.0;0.0;Mai 14;240;16. Nov;230;21.92;No
19.03.14;35.1;46.9;0.04;0.0;0.0;Mai 37;230;14. Sep;230;17.0;Yes
21.03.14;32.0;69.1;0.0;0.0;0.0;Mai 37;230;17.0;230;21. MŠr;No
22.03.14;46.0;75.9;0.0;0.0;0.0;08. Mai;220;18. Dez;230;25. Mai;No
25.03.14;33.1;45.0;0.03;0.0;0.0;Mai 82;120;Dez 97;320;19.91;Yes
26.03.14;29. Jan;46.9;0.0;0.0;0.0;Jun 93;280;17.0;290;27.96;No
27.03.14;24. MŠr;59.0;0.0;0.0;0.0;Jun 93;210;17.0;220;29. Aug;No
30.03.14;42.1;62.1;0.23;0.0;0.0;Okt 51;250;25. Mai;270;36.91;Yes
27.04.14;51.1;84.0;0.0;0.0;0.0;Mai 14;130;16. Nov;130;21. MŠr;No
04.05.14;48.9;82.9;0.0;0.0;0.0;Mai 59;240;19.91;240;29. Aug;No
10.05.14;64.0;86.0;0.0;0.0;0.0;Aug 95;230;23. Apr;220;29. Aug;No
17.05.14;46.9;71.1;0.0;0.0;0.0;Mai 37;270;16. Nov;320;23. Apr;No
19.05.14;45.0;73.0;0.0;0.0;0.0;02. Jan;40;12. Aug;130;17.0;Yes
27.05.14;66.0;90.0;0.22;0.0;0.0;Mai 82;300;25. Mai;280;40.94;No
03.06.14;57.0;89.1;0.05;0.0;0.0;04. MŠr;230;14. Sep;330;18. Dez;Yes
05.06.14;72.0;91.0;0.0;0.0;0.0;Jul 61;230;18. Dez;270;25.95;No
06.06.14;68.0;82.9;0.0;0.0;0.0;Mai 82;80;12. Aug;130;16. Nov;No
17.06.14;70.0;96.1;0.0;0.0;0.0;Jul 16;220;18. Dez;210;23. Apr;No
25.06.14;73.0;93.0;0.0;0.0;0.0;Jun 71;230;14.99;260;19.91;No
02.07.14;75.9;97.0;0.0;0.0;0.0;Sep 84;190;17.0;200;21.92;No
04.07.14;71.1;88.0;0.0;0.0;0.0;06. Apr;260;12. Aug;340;21. MŠr;No
05.07.14;61.0;82.9;0.0;0.0;0.0;Apr 92;50;14.99;80;18. Dez;No
06.07.14;61.0;90.0;0.0;0.0;0.0;Mai 82;240;14.99;190;17.0;No
13.07.14;71.1;93.9;0.0;0.0;0.0;Jul 16;180;14.99;190;19.91;Yes
17.07.14;60.1;84.0;0.0;0.0;0.0;Feb 24;350;08. Mai;40;14. Sep;No
23.07.14;71.1;91.9;0.0;0.0;0.0;Mai 59;210;17.0;220;23. Apr;No
26.07.14;69.1;90.0;0.0;0.0;0.0;MŠr 13;220;12. Aug;240;14.99;No
27.07.14;72.0;87.1;0.45;0.0;0.0;Jul 61;230;21. MŠr;230;25. Mai;No
31.07.14;66.0;82.0;0.08;0.0;0.0;Feb 68;120;Aug 95;90;14. Sep;Yes
02.08.14;64.0;70.0;0.08;0.0;0.0;MŠr 36;50;12. Aug;80;14. Sep;Yes
07.08.14;69.1;86.0;0.0;0.0;0.0;Apr 47;50;12. Aug;60;14.99;No
09.08.14;64.0;73.9;01. Jan;0.0;0.0;Mai 59;90;Dez 97;130;21. MŠr;Yes
10.08.14;66.0;81.0;0.56;0.0;0.0;Jun 71;100;14.99;110;21. MŠr;Yes
11.08.14;70.0;84.0;0.31;0.0;0.0;Jun 71;170;14.99;170;19.91;Yes
12.08.14;70.0;87.1;Feb 45;0.0;0.0;Apr 92;230;23. Apr;240;27.96;No
13.08.14;66.9;82.0;0.0;0.0;0.0;03. Aug;290;Dez 97;280;21. MŠr;No
15.08.14;61.0;86.0;0.0;0.0;0.0;Feb 68;220;12. Aug;270;17.0;No
